,company,specific_bean_region,year,cacao_percent,company_country,rating,origin_country,origin_gdp,company_gdp
196,Bittersweet Origins,Sambirano,2009,0.75,United States,3.25,Madagascar,8550363974.79243,14418739000000.0
197,Bittersweet Origins,Sambirano,2009,0.65,United States,3.5,Madagascar,8550363974.79243,14418739000000.0
198,Bittersweet Origins,Sambirano,2008,0.71,United States,3.0,Madagascar,9413002920.97008,14718582000000.0
199,Bittersweet Origins,Bocas del Toro,2008,0.75,United States,3.5,Panama,24522200000.0,14718582000000.0
200,Bittersweet Origins,Puerto Plata,2008,0.68,United States,3.75,Dominican Republic,48288967303.4896,14718582000000.0
201,Bittersweet Origins,Ankasa,2008,0.7,United States,3.0,Ghana,28526891010.4925,14718582000000.0
202,Black Mountain,La Red,2008,0.7,United States,2.75,Dominican Republic,48288967303.4896,14718582000000.0
204,Black Mountain,Matiguas,2008,0.7,United States,3.0,Nicaragua,8496965842.2767,14718582000000.0
205,Black River (A. Morin),Blue Mountain Region,2014,0.7,United Kingdom,2.75,Jamaica,13897723431.3942,3022827781881.39
207,Blue Bandana,Akesson's E.,2016,0.82,United States,3.5,Madagascar,10001193420.1518,18624475000000.0
208,Blue Bandana,Lachua,2016,0.75,United States,2.75,Guatemala,68763255963.8943,18624475000000.0
209,Blue Bandana,Kokoa Kamili,2016,0.75,United States,3.5,Tanzania,47340071107.343,18624475000000.0
210,Blue Bandana,Zorzal Reserva,2016,0.75,United States,3.0,Dominican Republic,71583553487.5646,18624475000000.0
211,Blue Bandana,Guatemala,2012,0.7,United States,3.5,Guatemala,50388454861.1111,16155255000000.0
212,Blue Bandana,Madagascar,2012,0.7,United States,3.75,Madagascar,9919780071.28764,16155255000000.0
213,Bonnat,Selva Maya,2016,0.75,France,3.5,Mexico,1046922702460.87,2465453975282.24
214,Bonnat,Kaori,2014,0.75,France,4.0,Brazil,2455993200170.0,2849305322684.76
215,Bonnat,Los Colorados,2014,0.75,France,3.25,Dominican Republic,65231032303.2418,2849305322684.76
217,Bonnat,Maragnam,2013,0.75,France,3.5,Brazil,2472806919901.67,2808511203185.39
218,Bonnat,Gabon,2013,0.75,France,3.25,Gabon,17590745688.6082,2808511203185.39
219,Bonnat,Cuba,2011,0.75,France,3.5,Cuba,68990000000.0,2862680142625.14
220,Bonnat,Cusco,2011,0.75,France,3.5,Peru,171761737046.585,2862680142625.14
221,Bonnat,Piura Blanco,2011,0.75,France,3.5,Peru,171761737046.585,2862680142625.14
222,Bonnat,Libanio,2011,0.75,France,3.75,Brazil,2616201578192.25,2862680142625.14
223,Bonnat,Haiti,2011,0.75,France,4.0,Haiti,7516834160.25277,2862680142625.14
224,Bonnat,Madagascar,2011,0.75,France,4.0,Madagascar,9892702357.56691,2862680142625.14
225,Bonnat,Juliana,2011,0.75,France,3.5,Brazil,2616201578192.25,2862680142625.14
226,Bonnat,Jamaique,2011,0.75,France,3.25,Jamaica,14439910353.0576,2862680142625.14
228,Bonnat,Porcelana,2009,0.75,France,2.75,Peru,120822986521.479,2693827452070.02
229,Bonnat,Porcelana,2009,0.75,France,3.0,Mexico,894948748436.748,2693827452070.02
230,Bonnat,Xoconusco,2009,0.75,France,3.0,Mexico,894948748436.748,2693827452070.02
232,Bonnat,Equateur,2007,0.75,France,2.5,Ecuador,51007777000.0,2663112510265.54
236,Bonnat,Madagascar,2006,0.75,France,4.0,Madagascar,5515884348.54904,2325011918203.49
237,Bonnat,Ceylan,2006,0.75,France,3.0,Sri Lanka,28279814924.5918,2325011918203.49
239,Bouga Cacao (Tulicorp),El Oro,2009,0.77,Ecuador,3.25,Ecuador,62519686000.0,62519686000.0
240,Bouga Cacao (Tulicorp),El Oro,2009,0.1,Ecuador,1.5,Ecuador,62519686000.0,62519686000.0
241,Bowler Man,Maya Mountain,2014,0.7,United States,2.75,Belize,1706497950.0,17393103000000.0
242,Bowler Man,Conacado,2014,0.7,United States,2.75,Dominican Republic,65231032303.2418,17393103000000.0
244,Brasstown aka It's Chocolate,O'payo,2016,0.7,United States,3.75,Nicaragua,13230844686.858,18624475000000.0
245,Brasstown aka It's Chocolate,Conacado,2015,0.68,United States,3.75,Dominican Republic,68102618092.1031,18120714000000.0
246,Brasstown aka It's Chocolate,Maya Mountain,2014,0.7,United States,3.75,Belize,1706497950.0,17393103000000.0
248,Brasstown aka It's Chocolate,Cooproagro,2013,0.72,United States,3.0,Dominican Republic,61965942056.6828,16691517000000.0
249,Brasstown aka It's Chocolate,Camino Verde,2013,0.7,United States,3.25,Ecuador,95129659000.0,16691517000000.0
250,Brasstown aka It's Chocolate,Ghana,2013,0.75,United States,3.5,Ghana,47805069494.9081,16691517000000.0
252,Brazen,Elvesia P.,2015,0.6,United States,3.0,Dominican Republic,68102618092.1031,18120714000000.0
253,Brazen,Elvesia P.,2015,0.8,United States,3.25,Dominican Republic,68102618092.1031,18120714000000.0
254,Brazen,Alta Verapaz,2015,0.7,United States,3.5,Guatemala,63767597193.9175,18120714000000.0
255,Brazen,Ambolikapiky P.,2015,0.8,United States,2.75,Madagascar,9744243420.48073,18120714000000.0
256,Brazen,Maya Mountain,2015,0.8,United States,3.25,Belize,1742545900.0,18120714000000.0
257,Brazen,Ambolikapkly P.,2015,0.6,United States,3.25,Madagascar,9744243420.48073,18120714000000.0
258,Breeze Mill,Jamaica,2013,0.7,United States,3.0,Jamaica,14274983015.9485,16691517000000.0
259,Bright,Somia Plantation,2014,0.72,Australia,3.0,Madagascar,10673516672.6664,1459597906912.7
260,Bright,Marabel Farms,2014,0.7,Australia,3.5,Dominican Republic,65231032303.2418,1459597906912.7
261,Bright,Camino Verde,2014,0.72,Australia,3.5,Ecuador,101726331000.0,1459597906912.7
264,Bronx Grrl Chocolate,Dominican Republic,2013,0.68,United States,2.75,Dominican Republic,61965942056.6828,16691517000000.0
266,Burnt Fork Bend,Mindo,2014,0.72,United States,3.5,Ecuador,101726331000.0,17393103000000.0
267,Burnt Fork Bend,Belize,2014,0.72,United States,3.25,Belize,1706497950.0,17393103000000.0
268,Burnt Fork Bend,Ecuador,2014,0.6,United States,2.5,Ecuador,101726331000.0,17393103000000.0
270,Cacao Atlanta,Tumbes,2014,0.75,United States,2.5,Peru,201049665375.132,17393103000000.0
271,Cacao Atlanta,Dominican Republic,2010,0.75,United States,2.5,Dominican Republic,53954579003.5277,14964372000000.0
272,Cacao Atlanta,Dominican Republic w/ nibs,2010,0.75,United States,2.75,Dominican Republic,53954579003.5277,14964372000000.0
274,Cacao Barry,Grand 'Anse,2016,0.65,France,3.5,Haiti,8022638721.92013,2465453975282.24
275,Cacao Barry,Santo Domingo,2010,0.7,France,3.0,Dominican Republic,53954579003.5277,2646837111794.78
276,Cacao Barry,Tanzania,2008,0.75,France,2.0,Tanzania,27368386358.131,2923465651091.26
278,Cacao Barry,Mexico,2007,0.66,France,3.0,Mexico,1043471321169.09,2663112510265.54
286,Cacao Hunters,Macondo,2016,0.71,Colombia,3.75,Colombia,282462551366.878,282462551366.878
287,Cacao Hunters,Perla Negra,2016,0.74,Colombia,3.75,Colombia,282462551366.878,282462551366.878
288,Cacao Hunters,Arhuacos,2015,0.72,Colombia,3.75,Colombia,291519596338.693,291519596338.693
289,Cacao Hunters,Sierra Nevada,2014,0.64,Colombia,3.5,Colombia,378195707612.393,378195707612.393
290,Cacao Hunters,Tumaco,2014,0.7,Colombia,3.5,Colombia,378195707612.393,378195707612.393
291,Cacao Hunters,Boyaca,2014,0.69,Colombia,2.75,Colombia,378195707612.393,378195707612.393
292,Cacao Hunters,Arauca,2014,0.7,Colombia,3.25,Colombia,378195707612.393,378195707612.393
293,Cacao Market,Jutiapa,2016,0.7,United States,3.5,Honduras,21516938909.5686,18624475000000.0
294,Cacao Prieto,Criollo,2012,0.72,United States,3.75,Dominican Republic,60613645121.3529,16155255000000.0
295,Cacao Prieto,Dominican Republicm,2011,0.72,United States,3.0,Dominican Republic,57746684847.0898,15517926000000.0
296,Cacao Prieto,Dominican Republic,2011,0.66,United States,3.75,Dominican Republic,57746684847.0898,15517926000000.0
297,Cacao Prieto,Dominican Republic,2011,0.65,United States,3.25,Dominican Republic,57746684847.0898,15517926000000.0
299,Cacao Sampaka,Madagascar,2010,0.71,Spain,3.5,Madagascar,8729936135.74487,1431616749640.29
300,Cacao Sampaka,Ecuador,2010,0.71,Spain,3.75,Ecuador,69555367000.0,1431616749640.29
301,Cacao Sampaka,Papua,2010,0.71,Spain,4.0,Papua New Guinea,14250726289.854,1431616749640.29
302,Cacao Sampaka,Grenada,2010,0.71,Spain,3.25,Grenada,771015888.888889,1431616749640.29
305,Cacao Sampaka,Porcelana,2009,0.7,Spain,4.0,Mexico,894948748436.748,1499099749930.54
306,Cacao Sampaka,Xoconusco,2009,0.7,Spain,4.0,Mexico,894948748436.748,1499099749930.54
307,Cacao Store,Madagascar,2015,0.7,Japan,3.0,Madagascar,9744243420.48073,4383076298081.86
308,Cacao Store,Peru,2015,0.7,Japan,3.25,Peru,189212096470.293,4383076298081.86
309,Cacao Store,Vietnam,2015,0.7,Japan,3.5,Vietnam,193241108709.536,4383076298081.86
310,Cacaosuyo (Theobroma Inversiones),Piura,2013,0.7,Peru,3.25,Peru,201217661645.509,201217661645.509
311,Cacaoyere (Ecuatoriana),Amazonia,2008,0.63,Ecuador,3.5,Ecuador,61762635000.0,61762635000.0
312,Cacaoyere (Ecuatoriana),Esmeraldas,2008,0.71,Ecuador,3.5,Ecuador,61762635000.0,61762635000.0
313,Cacaoyere (Ecuatoriana),Bolivar,2008,0.82,Ecuador,2.5,Ecuador,61762635000.0,61762635000.0
314,Cacaoyere (Ecuatoriana),Pichincha,2008,0.91,Ecuador,1.5,Ecuador,61762635000.0,61762635000.0
315,Callebaut,Grenade,2008,0.6,Belgium,2.75,Grenada,825977888.888889,518625897172.99
316,Callebaut,Baking,2007,0.7,Belgium,1.0,Ecuador,51007777000.0,471821105940.323
317,C-Amaro,Cuba,2014,0.75,Italy,2.5,Cuba,80656100000.0,2151732868243.21
318,C-Amaro,Dominican Republic,2014,0.72,Italy,3.0,Dominican Republic,65231032303.2418,2151732868243.21
319,C-Amaro,Ecuador,2013,0.1,Italy,3.5,Ecuador,95129659000.0,2130491320658.68
324,Cao,Tanzania,2016,0.73,United States,2.75,Tanzania,47340071107.343,18624475000000.0
326,Cao,Bolivia,2016,0.75,United States,3.0,Bolivia,33806395513.7482,18624475000000.0
327,Cao,Brazil,2016,0.7,United States,3.25,Brazil,1796186586414.45,18624475000000.0
328,Caoni (Tulicorp),Esmeraldas,2008,0.77,Ecuador,2.0,Ecuador,61762635000.0,61762635000.0
329,Caoni (Tulicorp),Manabi,2008,0.77,Ecuador,2.5,Ecuador,61762635000.0,61762635000.0
330,Caoni (Tulicorp),Los Rios,2008,0.77,Ecuador,2.75,Ecuador,61762635000.0,61762635000.0
331,Caoni (Tulicorp),Manabi,2008,0.55,Ecuador,3.0,Ecuador,61762635000.0,61762635000.0
332,Caoni (Tulicorp),Los Rios,2008,0.55,Ecuador,3.25,Ecuador,61762635000.0,61762635000.0
333,Caoni (Tulicorp),Esmeraldas,2008,0.55,Ecuador,3.5,Ecuador,61762635000.0,61762635000.0
334,Captain Pembleton,Saidor Estate,2014,0.7,New Zealand,3.5,Papua New Guinea,23003575201.1051,200696291789.952
335,Captain Pembleton,Kulili Estate,2014,0.7,New Zealand,3.75,Papua New Guinea,23003575201.1051,200696291789.952
336,Caribeans,Antigua,2015,0.72,Costa Rica,3.5,Guatemala,63767597193.9175,54840103850.265
337,Caribeans,Talamanca,2015,0.72,Costa Rica,3.25,Costa Rica,54840103850.265,54840103850.265
